Subtitle Block,label,score
"Mr. Dufresne, describe...",neutral,0.968901515007019
...the confrontation you had withyour wife the night she was murdered.,neutral,0.8885329961776733
It was very bitter.,sadness,0.3502447307109833
"She said she was glad I knew,that she hated all the sneaking around.",neutral,0.8693105578422546
And she said that she wanteda divorce in Reno.,neutral,0.9553451538085938
-What was your response?-I told her I would not grant one.,neutral,0.6605027318000793
"""I'll see you in hellbefore I see you in Reno.""",neutral,0.7838578820228577
"Those were your words,according to your neighbors.",neutral,0.9638517498970032
If they say so.,neutral,0.9494199156761169
I really don't remember. I was upset.,disappointment,0.5960105061531067
What happened after you arguedwith your wife?,curiosity,0.6094818115234375
She packed a bag.,neutral,0.9648977518081665
She packed a bag to goand stay with Mr. Quentin.,neutral,0.9654903411865234
"Glenn Quentin, golf proat the Snowden Hills Country Club...",neutral,0.9631522297859192
...whom you had discoveredwas your wife's lover.,neutral,0.9524908661842346
Did you follow her?,curiosity,0.56418377161026
I went to a few bars first.,neutral,0.9257631301879883
"Later, I drove to his houseto confront them. They weren't home.",neutral,0.9047983288764954
I parked in the turnout...,neutral,0.958901584148407
...and waited.,neutral,0.9693121910095215
With what intention?,neutral,0.5464982390403748
I'm not sure.,confusion,0.8975158929824829
I was confused...,confusion,0.9418751001358032
...drunk.,neutral,0.9566566348075867
I think...,neutral,0.9368788599967957
...mostly I wanted to scare them.,neutral,0.47533470392227173
"When they arrived, you went upto the house and murdered them.",neutral,0.7959803342819214
"No, I was sobering up.",neutral,0.3932601809501648
I got back in the carand I drove home to sleep it off.,neutral,0.9306867122650146
"Along the way, I threw my guninto the Royal River.",neutral,0.9101822972297668
I've been very clear on this point.,approval,0.8018351197242737
I get hazy where the cleaning womanshows up the following morning...,neutral,0.9608423113822937
...and finds your wife in bedwith her lover...,neutral,0.9570084810256958
...riddled with .38-caliber bullets.,neutral,0.9477301836013794
"Does that strike you as afantastic coincidence, or is it just me?",curiosity,0.7361003160476685
"Yes, it does.",approval,0.7495166063308716
Yet you still maintainyou threw your gun into the river...,neutral,0.9435186386108398
...before the murders took place.,neutral,0.9508853554725647
That's very convenient.,approval,0.81266850233078
It's the truth.,approval,0.7499766945838928
"The police dragged that river forthree days, and nary a gun was found...",neutral,0.9315179586410522
...so no comparison could be madebetween your gun and the bullets...,neutral,0.8908862471580505
...taken from the bloodstained corpsesof the victims.,neutral,0.9617452025413513
And that also...,neutral,0.9610593914985657
"...is very convenient.Isn't it, Mr. Dufresne?",neutral,0.35805967450141907
Since I am innocent of this crime...,neutral,0.6601867079734802
...I find it decidedly inconvenientthat the gun was never found.,disappointment,0.5964656472206116
"Ladies and gentlemen,you've heard all the evidence.",neutral,0.7094069123268127
We have the accused at the sceneof the crime. We have footprints.,neutral,0.9337716102600098
Bullets on the groundbearing his fingerprints.,neutral,0.9562486410140991
"A broken bourbon bottle,likewise with fingerprints.",neutral,0.9657451510429382
And most of all...,neutral,0.9496729969978333
...we have a beautiful young womanand her lover...,admiration,0.8805724382400513
...lying dead in each other's arms.,neutral,0.9425819516181946
They had sinned.,neutral,0.8700399994850159
But was their crime so great...,admiration,0.8743058443069458
...as to merit a death sentence?,curiosity,0.5181833505630493
While you think about that...,neutral,0.956803560256958
...think about this:,neutral,0.9654470086097717
"A revolver holds six bullets, not eight.",neutral,0.9280589818954468
I submit that this was nota hot-blooded crime of passion.,neutral,0.5424174070358276
"That at least could be understood,if not condoned.",neutral,0.7219954133033752
No.,neutral,0.9286576509475708
This was revenge...,neutral,0.8790448307991028
"...of a much more brutal,cold-blooded nature. Consider this:",neutral,0.957295835018158
Four bullets per victim.,neutral,0.9702829122543335
"Not six shots fired, but eight.",neutral,0.9432622790336609
That means that he firedthe gun empty...,neutral,0.9511308670043945
...and then stopped to reload...,neutral,0.9681389927864075
...so that he could shooteach of them again.,neutral,0.9649571776390076
An extra bullet per lover...,neutral,0.9707513451576233
...right in the head.,neutral,0.9629111886024475
"You strike me as a particularly icyand remorseless man, Mr. Dufresne.",neutral,0.9043912887573242
It chills my blood just to look at you.,neutral,0.5750396847724915
By the power vested in meby the state of Maine...,neutral,0.9591346383094788
...I hereby order you to servetwo life sentences back-to-back...,neutral,0.8648070693016052
...one for each of your victims. So be it!,neutral,0.8016036748886108
Sit.,neutral,0.9640797972679138
We see you've served,neutral,0.9203324913978577
"-Yes, sir.-You feel you've been rehabilitated?",neutral,0.5780956745147705
"Oh, yes, sir. Absolutely, sir.",approval,0.741744339466095
"I mean, I learned my lesson.",realization,0.6619614362716675
I can honestly saythat I'm a changed man.,approval,0.5905281901359558
I'm no longer a danger to society.,approval,0.24118466675281525
That's God's honest truth.,approval,0.8109455108642578
"Hey, Red. How'd it go?",neutral,0.5890020132064819
"Same old shit, different day.",annoyance,0.6536344289779663
